_id,business_status,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,icon,id,name,permanently_closed,photos,place_id,plus_code.compound_code,plus_code.global_code,price_level,rating,reference,scope,types,user_ratings_total,vicinity,keyword,city,michelin_stars,michelin_mention,michelin_description,michelin_url,yelp_stars,yelp_url,zomato_stars,zomato_timings,zomato_avg_for_two,zomato_events
5f2cb750ebfb7f809527ed19,CLOSED_TEMPORARILY,40.7416519,-73.9872353,40.74292627989272,-73.98596842010727,40.74022662010728,-73.98866807989272,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,f758e0d7f68c659682afdb4b1c0749e7d3623839,Eleven Madison Park,true,"[{""height"":3024,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/110602457892953015436\"">steve cheng</a>""],""photo_reference"":""CmRaAAAAvyd1D-HqMrjknInKqWiS9BzmdJA22WBk-ucFBrqq61HQZzOC4sy0WcP5LAMaqSoEzwDUN-SAHMIe4ujr8twe4bECKNnF-PoL3_zkN-ivpehwTAllXdVsNwEO_RAfqJ10EhBIUi2whh-mLb-9A-BAdWjVGhRwdUBMatnT3IALHRtuMosrI-84pw"",""width"":4032}]",ChIJEWbXz6ZZwokRLKmKrtPfVFY,P2R7+M4 New York,87G8P2R7+M4,4,4.6,ChIJEWbXz6ZZwokRLKmKrtPfVFY,GOOGLE,"[""restaurant"",""food"",""point_of_interest"",""establishment""]",1828,"11 Madison Ave, New York",fine dining,New York,3,true,"This modern, elegant dining room displays the virtues of symmetry, with not so much as a chair pushed out of its proper place. Everything is custom made, from the staff’s Todd Snyder suits to the handblown water vases. It's all evidence of Chef Daniel Humm’s masterful precision that extends through the cuisine as it artfully unfolds before each guest.Cocktails are a must and the program features expertly crafted sips highlighting a range of botanicals including green tomato, yuzu or sesame. The Manhattan Cart tempts diners with a bespoke version of the classic cocktail prepared tableside. The menu beams with impressive creativity, as in snails roasted in a bundle of young lettuce; and duck lacquered with honey and lavender. Classic New York remains a noteworthy theme as displayed by a smoked sturgeon-topped savory cheesecake with a bagel crumb crust that pays homage to the city's appetizing shops. Specialties arrive by trolley, perhaps bearing a shaved truffle-topped flatbread brushed with aged-cheddar sauce, which when removed goes on to reveal stuffed wild mushrooms in an intense broth. Desserts, like the Meyer lemon, black sesame and yogurt composition, are utterly modern.",www.elevenmadisonpark.com,4.5,https://www.yelp.com/biz/eleven-madison-park-new-york?adjust_creative=x5IdveuptDX3ZLq8tGOIZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x5IdveuptDX3ZLq8tGOIZA,4.9,"5:30 PM to 10 PM (Mon, Tue, Wed, Sun), 12 Noon to 1 PM, 5:30 PM to 10 PM (Thu-Sat)",650,https://www.zomato.com/new-york-city/eleven-madison-park-gramercy-flatiron/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
5f2cb750ebfb7f809527ed1a,OPERATIONAL,40.7381658,-73.9886678,40.73944947989273,-73.98741687010728,40.73674982010728,-73.99011652989273,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,,Craft,,"[{""height"":1667,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/104287569257193324163\"">Craft</a>""],""photo_reference"":""CmRaAAAAOgjItarsSqo63zlceXA_wuUKoxEVSmkKk2wEAeHx9A7R97mDfxmpX09p9Y2j8IK-F9UFgqeH-8SyAcsQRO8gDevHM5v6pvYXUqwlTxOuU_sfTeFO-9OK2MKdPvK7V5msEhDAWLMEJEl5l3Ljrl1uXqRCGhSFFzOpxJwPWZOFbpmi53BYWQN5rw"",""width"":2347}]",ChIJaQ41hqFZwokRVms_0-JiwQY,P2Q6+7G New York,87G8P2Q6+7G,3,4.5,ChIJaQ41hqFZwokRVms_0-JiwQY,GOOGLE,"[""restaurant"",""food"",""point_of_interest"",""establishment""]",680,"43 E 19th St, New York",fine dining,New York,false,true,"It’s been years since Tom Colicchio first opened Craft to great acclaim, but the easy charms of the celebrity chef and TV personality’s downtown institution haven’t waned a bit. The room is still busy most nights of the week with stylish patrons who appreciate the triple threat of cozy décor, elegant food and a crackerjack service team. As the name suggests, guests ""craft"" a meal from seasonal, perfectly executed dishes that may feature pristine ingredients. Dinner might kick off with a cured slice of crudo, served with shaved fennel, radish and microgreens in a Meyer lemon dressing. Don’t leave without trying one of the chef's legendary pastas, like a gorgeous tangle of capellini with lemon zest, grated cheese, ramps and Calabrian chilies.",www.craftrestaurantsinc.com,4,https://www.yelp.com/biz/craft-new-york?adjust_creative=x5IdveuptDX3ZLq8tGOIZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x5IdveuptDX3ZLq8tGOIZA,4.5,"12 Noon to 2:30 PM, 5:30 PM to 10 PM (Mon-Thu), 12 Noon to 2:30 PM, 5:30 PM to 11 PM (Fri), 12 Noon to 2:30 PM, 5 PM to 11 PM (Sat), 12 Noon to 2:30 PM, 5 PM to 9 PM (Sun)",140,https://www.zomato.com/new-york-city/craft-gramercy-flatiron/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
5f2cb750ebfb7f809527ed1b,OPERATIONAL,40.741163,-73.99210599999999,40.74242287989272,-73.99082102010728,40.73972322010728,-73.99352067989273,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,,Bouley at Home,,"[{""height"":4032,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/106698884202502248976\"">Benjaminwzz wong</a>""],""photo_reference"":""CmRaAAAATMI7tmJ4i4mdW8Q1_uc5ElapxXxb14yHIYTCGmNieYCzu83PlP-QffVOwdD_WuAgW2c0Jfa0Rp6K-tEi_oCEFX9r8VecWpieQqRTYNbP8DPBYVF_gz6SGYTMKpndUGTBEhA-dqGsKluBlCakVHo78bneGhTiQwKAJPH_zBGgLig_X2Uccvwyag"",""width"":3024}]",ChIJC0SVqR9awokRjAPTlk8pUb0,P2R5+F5 New York,87G8P2R5+F5,4,4.5,ChIJC0SVqR9awokRjAPTlk8pUb0,GOOGLE,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",506,"31 W 21st St, New York",fine dining,New York,true,true,"Fans of the acclaimed chef will instantly recognize the unmistakable trademark marking the entrance to Bouley at Home—a progressive and ingenious concept from the chef extraordinaire himself—David Bouley. His multi-dimensional and highly refined ""home"" is no small feat, showcasing a foyer scented with apple-lined walls and dining room with display kitchen, where dinner is served. As they say, go big or go home.The polished main room may be brightly lit, and at times, noisy, but a seat at one of the three counters will put you eye-to-eye with the team in action. The chefs are the servers here, and there’s ample communication about the cuisine. If you’re intrigued by a dish, you can even learn how to make it in the on-site kitchen.As for the cuisine itself, Chef Bouley has always managed to integrate his philosophy of nutrition and healing into his food, and here he does it again with great ease. Dinner might begin with a soothing porcini mushroom flan topped with Alaskan Dungeness crab. Then move on to eggplant terrine tucked with a purée of red bell peppers, before closing out over Long Island duck breast set over polenta and paired with pruneaux d'Agen-studded wild rice.",www.davidbouley.com,4,https://www.yelp.com/biz/bouley-at-home-new-york?adjust_creative=x5IdveuptDX3ZLq8tGOIZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x5IdveuptDX3ZLq8tGOIZA,0,"11:30 AM to 3:30 PM, 5 PM to 10:30 PM (Tue-Sat), Mon & Sun Closed",80,https://www.zomato.com/new-york-city/bouley-at-home-chelsea-manhattan/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
5f2cb750ebfb7f809527ed1c,OPERATIONAL,40.7396083,-73.9844715,40.74099627989271,-73.98319097010727,40.73829662010727,-73.98589062989272,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,b68608cb3ecf483a3de6478664845c66879d2a00,Simon & The Whale,,"[{""height"":3021,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/113255667555755574678\"">David Kaplan</a>""],""photo_reference"":""CmRaAAAArbJKFGF_TsPIcIJSSXXgZDbniF9lOGUu2_xS9BxKEHKTL0fm5tFaC1Zxy3XA4Cjty9ZgAy1XbV8wx-5b_TndaxqqCKqwtL1ozK7FS8VgQ4brxQCHTH3LxkimTh2RX_HSEhDW3qnfiCmujOywNfEjj_YvGhSB3pRB8-KUSpbuK6O9u5akwSakLA"",""width"":3021}]",ChIJRy3WuaBZwokR5N2nQH6vFLE,P2Q8+R6 New York,87G8P2Q8+R6,3,4.4,ChIJRy3WuaBZwokR5N2nQH6vFLE,GOOGLE,"[""restaurant"",""food"",""point_of_interest"",""establishment""]",380,"23 Lexington Ave, New York",fine dining,New York,0,false,null,null,4,https://www.yelp.com/biz/simon-and-the-whale-new-york?adjust_creative=x5IdveuptDX3ZLq8tGOIZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x5IdveuptDX3ZLq8tGOIZA,0,"8 AM to 11 PM (Mon-Thu, Sun), 8 AM to 12 Midnight (Fri-Sat)",100,https://www.zomato.com/new-york-city/simon-the-whale-kips-bay/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
5f2cb750ebfb7f809527ed1d,CLOSED_TEMPORARILY,40.7439469,-73.98697440000001,40.74521522989272,-73.98568947010727,40.74251557010728,-73.98838912989271,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,c42fc6ad12cce35fb894b33797f374298cf55a54,Benno Restaurant,true,"[{""height"":3712,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/106210672872014846933\"">A Google User</a>""],""photo_reference"":""CmRaAAAAO3Knk_2gyLgfW8LnO2wlZWlP75f-nJBykZwMNHqN_vL-Sev4nRPadRHbaRYPWRBkgDq5ZK2sXI3BnhDCOi5ZbuQHyfdDY4mwm03tKZo-WC4dwioj2rQ9sfeI3Qcms-Q-EhDV49HYkX_YTBBoTUQ1Y-EMGhTUXReuLzMUExSFTmw7Y2Bbz19zig"",""width"":5568}]",ChIJW1hwqPtZwokRZkpVIP-dwW8,P2V7+H6 New York,87G8P2V7+H6,,4.9,ChIJW1hwqPtZwokRZkpVIP-dwW8,GOOGLE,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",78,"7 E 27th St, New York",fine dining,New York,true,true,"Acclaimed Chef Jonathan Benno returns to the fine dining scene with this refined spot. Nestled in the Evelyn Hotel, this luxurious space highlights an art deco chandelier suspended under a large glass skylight. The staff glides effortlessly across the mosaic-tiled floor, tending to guests' every whim and fancy.The menu explores the area where Italy and France meet—along the border regions of Liguria and Provence—by way of three- four- or five-course meals. The chef's skill truly shines when he puts his practiced hands to perfect house-made pastas tossed in luxe ingredients, like garganelli verdi or risotto studded with meaty blue foot mushrooms and Piave Vecchio. Seafood is particularly well-executed here, as in the black bass with escargots in a garlic-parsley-and butter sauce, or the raw scallops with pickled and sweet kohlrabi with a hint of heat from mustard oil and a smoky pop from the roe. Strawberry sorbet topped with whipped crème frâiche tastes of childhood summers and cleanses the palate. Then, an exquisite wedge of lemon curd torta topped with toasted pine nuts makes the perfect finish.",www.bennorestaurant.com,null,null,null,null,null,null
5f2cb7743f5aa5a2dc26bedd,CLOSED_TEMPORARILY,40.7416519,-73.9872353,40.74292627989272,-73.98596842010727,40.74022662010728,-73.98866807989272,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,f758e0d7f68c659682afdb4b1c0749e7d3623839,Eleven Madison Park,true,"[{""height"":3024,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/110602457892953015436\"">steve cheng</a>""],""photo_reference"":""CmRaAAAAvyd1D-HqMrjknInKqWiS9BzmdJA22WBk-ucFBrqq61HQZzOC4sy0WcP5LAMaqSoEzwDUN-SAHMIe4ujr8twe4bECKNnF-PoL3_zkN-ivpehwTAllXdVsNwEO_RAfqJ10EhBIUi2whh-mLb-9A-BAdWjVGhRwdUBMatnT3IALHRtuMosrI-84pw"",""width"":4032}]",ChIJEWbXz6ZZwokRLKmKrtPfVFY,P2R7+M4 New York,87G8P2R7+M4,4,4.6,ChIJEWbXz6ZZwokRLKmKrtPfVFY,GOOGLE,"[""restaurant"",""food"",""point_of_interest"",""establishment""]",1828,"11 Madison Ave, New York",fine dining,New York,3,true,"This modern, elegant dining room displays the virtues of symmetry, with not so much as a chair pushed out of its proper place. Everything is custom made, from the staff’s Todd Snyder suits to the handblown water vases. It's all evidence of Chef Daniel Humm’s masterful precision that extends through the cuisine as it artfully unfolds before each guest.Cocktails are a must and the program features expertly crafted sips highlighting a range of botanicals including green tomato, yuzu or sesame. The Manhattan Cart tempts diners with a bespoke version of the classic cocktail prepared tableside. The menu beams with impressive creativity, as in snails roasted in a bundle of young lettuce; and duck lacquered with honey and lavender. Classic New York remains a noteworthy theme as displayed by a smoked sturgeon-topped savory cheesecake with a bagel crumb crust that pays homage to the city's appetizing shops. Specialties arrive by trolley, perhaps bearing a shaved truffle-topped flatbread brushed with aged-cheddar sauce, which when removed goes on to reveal stuffed wild mushrooms in an intense broth. Desserts, like the Meyer lemon, black sesame and yogurt composition, are utterly modern.",www.elevenmadisonpark.com,4.5,https://www.yelp.com/biz/eleven-madison-park-new-york?adjust_creative=x5IdveuptDX3ZLq8tGOIZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x5IdveuptDX3ZLq8tGOIZA,4.9,"5:30 PM to 10 PM (Mon, Tue, Wed, Sun), 12 Noon to 1 PM, 5:30 PM to 10 PM (Thu-Sat)",650,https://www.zomato.com/new-york-city/eleven-madison-park-gramercy-flatiron/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
5f2cb7743f5aa5a2dc26bede,OPERATIONAL,40.7381658,-73.9886678,40.73944947989273,-73.98741687010728,40.73674982010728,-73.99011652989273,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,,Craft,,"[{""height"":1667,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/104287569257193324163\"">Craft</a>""],""photo_reference"":""CmRaAAAAOgjItarsSqo63zlceXA_wuUKoxEVSmkKk2wEAeHx9A7R97mDfxmpX09p9Y2j8IK-F9UFgqeH-8SyAcsQRO8gDevHM5v6pvYXUqwlTxOuU_sfTeFO-9OK2MKdPvK7V5msEhDAWLMEJEl5l3Ljrl1uXqRCGhSFFzOpxJwPWZOFbpmi53BYWQN5rw"",""width"":2347}]",ChIJaQ41hqFZwokRVms_0-JiwQY,P2Q6+7G New York,87G8P2Q6+7G,3,4.5,ChIJaQ41hqFZwokRVms_0-JiwQY,GOOGLE,"[""restaurant"",""food"",""point_of_interest"",""establishment""]",680,"43 E 19th St, New York",fine dining,New York,false,true,"It’s been years since Tom Colicchio first opened Craft to great acclaim, but the easy charms of the celebrity chef and TV personality’s downtown institution haven’t waned a bit. The room is still busy most nights of the week with stylish patrons who appreciate the triple threat of cozy décor, elegant food and a crackerjack service team. As the name suggests, guests ""craft"" a meal from seasonal, perfectly executed dishes that may feature pristine ingredients. Dinner might kick off with a cured slice of crudo, served with shaved fennel, radish and microgreens in a Meyer lemon dressing. Don’t leave without trying one of the chef's legendary pastas, like a gorgeous tangle of capellini with lemon zest, grated cheese, ramps and Calabrian chilies.",www.craftrestaurantsinc.com,4,https://www.yelp.com/biz/craft-new-york?adjust_creative=x5IdveuptDX3ZLq8tGOIZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x5IdveuptDX3ZLq8tGOIZA,4.5,"12 Noon to 2:30 PM, 5:30 PM to 10 PM (Mon-Thu), 12 Noon to 2:30 PM, 5:30 PM to 11 PM (Fri), 12 Noon to 2:30 PM, 5 PM to 11 PM (Sat), 12 Noon to 2:30 PM, 5 PM to 9 PM (Sun)",140,https://www.zomato.com/new-york-city/craft-gramercy-flatiron/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
5f2cb7743f5aa5a2dc26bedf,OPERATIONAL,40.741163,-73.99210599999999,40.74242287989272,-73.99082102010728,40.73972322010728,-73.99352067989273,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,,Bouley at Home,,"[{""height"":4032,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/106698884202502248976\"">Benjaminwzz wong</a>""],""photo_reference"":""CmRaAAAATMI7tmJ4i4mdW8Q1_uc5ElapxXxb14yHIYTCGmNieYCzu83PlP-QffVOwdD_WuAgW2c0Jfa0Rp6K-tEi_oCEFX9r8VecWpieQqRTYNbP8DPBYVF_gz6SGYTMKpndUGTBEhA-dqGsKluBlCakVHo78bneGhTiQwKAJPH_zBGgLig_X2Uccvwyag"",""width"":3024}]",ChIJC0SVqR9awokRjAPTlk8pUb0,P2R5+F5 New York,87G8P2R5+F5,4,4.5,ChIJC0SVqR9awokRjAPTlk8pUb0,GOOGLE,"[""bar"",""restaurant"",""food"",""point_of_interest"",""establishment""]",506,"31 W 21st St, New York",fine dining,New York,true,true,"Fans of the acclaimed chef will instantly recognize the unmistakable trademark marking the entrance to Bouley at Home—a progressive and ingenious concept from the chef extraordinaire himself—David Bouley. His multi-dimensional and highly refined ""home"" is no small feat, showcasing a foyer scented with apple-lined walls and dining room with display kitchen, where dinner is served. As they say, go big or go home.The polished main room may be brightly lit, and at times, noisy, but a seat at one of the three counters will put you eye-to-eye with the team in action. The chefs are the servers here, and there’s ample communication about the cuisine. If you’re intrigued by a dish, you can even learn how to make it in the on-site kitchen.As for the cuisine itself, Chef Bouley has always managed to integrate his philosophy of nutrition and healing into his food, and here he does it again with great ease. Dinner might begin with a soothing porcini mushroom flan topped with Alaskan Dungeness crab. Then move on to eggplant terrine tucked with a purée of red bell peppers, before closing out over Long Island duck breast set over polenta and paired with pruneaux d'Agen-studded wild rice.",www.davidbouley.com,4,https://www.yelp.com/biz/bouley-at-home-new-york?adjust_creative=x5IdveuptDX3ZLq8tGOIZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x5IdveuptDX3ZLq8tGOIZA,0,"11:30 AM to 3:30 PM, 5 PM to 10:30 PM (Tue-Sat), Mon & Sun Closed",80,https://www.zomato.com/new-york-city/bouley-at-home-chelsea-manhattan/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
5f2cb7743f5aa5a2dc26bee0,OPERATIONAL,40.7396083,-73.9844715,40.74099627989271,-73.98319097010727,40.73829662010727,-73.98589062989272,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,b68608cb3ecf483a3de6478664845c66879d2a00,Simon & The Whale,,"[{""height"":3021,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/113255667555755574678\"">David Kaplan</a>""],""photo_reference"":""CmRaAAAArbJKFGF_TsPIcIJSSXXgZDbniF9lOGUu2_xS9BxKEHKTL0fm5tFaC1Zxy3XA4Cjty9ZgAy1XbV8wx-5b_TndaxqqCKqwtL1ozK7FS8VgQ4brxQCHTH3LxkimTh2RX_HSEhDW3qnfiCmujOywNfEjj_YvGhSB3pRB8-KUSpbuK6O9u5akwSakLA"",""width"":3021}]",ChIJRy3WuaBZwokR5N2nQH6vFLE,P2Q8+R6 New York,87G8P2Q8+R6,3,4.4,ChIJRy3WuaBZwokR5N2nQH6vFLE,GOOGLE,"[""restaurant"",""food"",""point_of_interest"",""establishment""]",380,"23 Lexington Ave, New York",fine dining,New York,0,false,null,null,4,https://www.yelp.com/biz/simon-and-the-whale-new-york?adjust_creative=x5IdveuptDX3ZLq8tGOIZA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=x5IdveuptDX3ZLq8tGOIZA,0,"8 AM to 11 PM (Mon-Thu, Sun), 8 AM to 12 Midnight (Fri-Sat)",100,https://www.zomato.com/new-york-city/simon-the-whale-kips-bay/events#tabtop?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1
5f2cb7743f5aa5a2dc26bee1,CLOSED_TEMPORARILY,40.7439469,-73.98697440000001,40.74521522989272,-73.98568947010727,40.74251557010728,-73.98838912989271,https://maps.gstatic.com/mapfiles/place_api/icons/restaurant-71.png,c42fc6ad12cce35fb894b33797f374298cf55a54,Benno Restaurant,true,"[{""height"":3712,""html_attributions"":[""<a href=\""https://maps.google.com/maps/contrib/106210672872014846933\"">A Google User</a>""],""photo_reference"":""CmRaAAAAO3Knk_2gyLgfW8LnO2wlZWlP75f-nJBykZwMNHqN_vL-Sev4nRPadRHbaRYPWRBkgDq5ZK2sXI3BnhDCOi5ZbuQHyfdDY4mwm03tKZo-WC4dwioj2rQ9sfeI3Qcms-Q-EhDV49HYkX_YTBBoTUQ1Y-EMGhTUXReuLzMUExSFTmw7Y2Bbz19zig"",""width"":5568}]",ChIJW1hwqPtZwokRZkpVIP-dwW8,P2V7+H6 New York,87G8P2V7+H6,,4.9,ChIJW1hwqPtZwokRZkpVIP-dwW8,GOOGLE,"[""restaurant"",""bar"",""food"",""point_of_interest"",""establishment""]",78,"7 E 27th St, New York",fine dining,New York,true,true,"Acclaimed Chef Jonathan Benno returns to the fine dining scene with this refined spot. Nestled in the Evelyn Hotel, this luxurious space highlights an art deco chandelier suspended under a large glass skylight. The staff glides effortlessly across the mosaic-tiled floor, tending to guests' every whim and fancy.The menu explores the area where Italy and France meet—along the border regions of Liguria and Provence—by way of three- four- or five-course meals. The chef's skill truly shines when he puts his practiced hands to perfect house-made pastas tossed in luxe ingredients, like garganelli verdi or risotto studded with meaty blue foot mushrooms and Piave Vecchio. Seafood is particularly well-executed here, as in the black bass with escargots in a garlic-parsley-and butter sauce, or the raw scallops with pickled and sweet kohlrabi with a hint of heat from mustard oil and a smoky pop from the roe. Strawberry sorbet topped with whipped crème frâiche tastes of childhood summers and cleanses the palate. Then, an exquisite wedge of lemon curd torta topped with toasted pine nuts makes the perfect finish.",www.bennorestaurant.com,null,null,null,null,null,null
